Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
56030	39.0	39.0	46.5	41.0	39.0	32.0	3.39	3.28	1.1	7.23	3.41	3.41
56033	42.0	42.0	49.0	41.0	44.0	37.0	3.39	3.28	1.1	7.23	3.41	3.41
56036	40.0	40.0	47.5	41.0	40.0	32.0	3.39	3.28	1.1	7.23	3.41	3.41
56039	39.0	39.0	46.5	41.0	39.0	32.0	3.39	3.28	1.1	7.23	3.41	3.41
56042	41.0	41.0	49.5	41.0	41.0	33.0	3.39	3.28	1.28	8.45	3.41	3.41
56045	41.0	41.0	48.5	41.0	41.0	32.0	3.39	3.28	1.28	8.45	3.41	3.41
56049	40.0	40.0	47.5	41.0	39.0	32.0	3.39	3.28	1.28	8.45	3.41	3.41
56052	39.0	39.0	46.5	41.0	40.0	33.0	3.39	3.28	1.28	8.45	3.41	3.41
56055	40.0	40.0	47.5	41.0	40.0	32.0	3.39	3.28	1.1	7.23	3.41	3.41
56058	39.0	39.0	47.0	41.0	39.0	32.0	3.39	3.28	1.1	7.23	3.41	3.41
56061	39.0	39.0	47.0	41.0	39.0	32.0	3.39	3.28	1.1	7.23	3.41	3.41
56064	39.0	39.0	47.0	41.0	39.0	32.0	3.39	3.28	1.1	7.23	3.41	3.41
56067	39.0	39.0	46.5	41.0	39.0	32.0	3.39	3.28	1.1	7.23	3.41	3.41
56070	39.0	39.0	47.0	41.0	39.0	32.0	3.39	3.28	1.1	7.23	3.41	3.41
56073	39.0	39.0	46.0	41.0	39.0	32.0	3.39	3.28	1.1	7.23	3.41	3.41
56076	39.0	39.0	46.0	41.0	39.0	32.0	3.39	3.28	1.1	7.23	3.41	3.41
56079	39.0	39.0	46.0	41.0	39.0	32.0	3.39	3.28	1.1	7.23	3.41	3.41
56082	39.0	39.0	45.5	41.0	39.0	32.0	3.39	3.28	1.1	7.23	3.41	3.41
