Unique ID, Manufacturer, Chemistry, Voltage (Volts)
 Hewlett-PackardPrimary, Hewlett-Packard, Nickel Metal Hydride, 12.53

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2011-07-01, 15:37:41, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:42, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:43, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:44, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:45, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:46, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:47, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:48, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:49, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:50, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:51, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:52, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:53, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:54, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:55, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:56, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:57, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:58, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:37:59, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:00, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:01, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:02, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:03, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:04, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:05, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:06, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:07, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:08, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:09, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:10, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:11, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:12, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:13, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:14, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:15, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:16, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:17, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:18, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:19, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:20, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:21, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:22, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:23, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:24, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:25, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:26, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:27, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:28, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:29, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:30, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:31, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:32, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:33, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:34, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:35, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:36, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:37, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:38, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:39, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:40, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:41, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:43, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:44, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:45, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:46, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:47, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:48, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:49, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:50, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:51, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:52, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:53, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:54, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:55, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:56, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:57, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:58, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:38:59, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:00, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:01, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:02, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:03, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:04, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:05, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:06, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:07, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:08, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:09, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:10, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:11, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:12, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:13, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
