Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
54261	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54264	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54267	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54270	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54273	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54276	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54279	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54282	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54285	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54288	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54291	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54294	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54297	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54300	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54304	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54307	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54310	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54313	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54316	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54319	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54322	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54325	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54328	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54331	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54334	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54337	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
