Seconds	System	CPU	HD0	Core 0	Core 1	3Vsb	Vcore
45949	43.0	43.0	40.0	43.0	34.0	3.34	1.1
45952	43.0	43.0	40.0	43.0	34.0	3.34	1.1
45955	43.0	43.0	40.0	43.0	34.0	3.34	1.1
45958	43.0	43.0	40.0	43.0	34.0	3.34	1.1
45961	43.0	43.0	40.0	43.0	34.0	3.34	1.1
45964	43.0	43.0	40.0	43.0	34.0	3.34	1.1
45967	43.0	43.0	40.0	43.0	35.0	3.34	1.1
45970	43.0	43.0	40.0	43.0	34.0	3.34	1.1
45973	43.0	43.0	40.0	43.0	34.0	3.34	1.1
45976	43.0	43.0	40.0	43.0	34.0	3.34	1.1
45979	43.0	43.0	40.0	43.0	35.0	3.34	1.1
45982	43.0	43.0	40.0	43.0	34.0	3.34	1.1
45985	43.0	43.0	40.0	43.0	35.0	3.34	1.14
45988	43.0	43.0	40.0	43.0	35.0	3.34	1.14
45992	43.0	43.0	40.0	43.0	34.0	3.34	1.14
45995	43.0	43.0	40.0	43.0	34.0	3.34	1.14
45998	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46001	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46004	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46007	43.0	43.0	40.0	43.0	35.0	3.34	1.14
46010	43.0	43.0	40.0	43.0	35.0	3.34	1.14
46013	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46016	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46019	43.0	43.0	40.0	43.0	35.0	3.34	1.14
46022	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46025	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46028	43.0	43.0	40.0	43.0	35.0	3.34	1.14
46031	43.0	43.0	40.0	43.0	35.0	3.34	1.14
46034	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46037	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46040	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46044	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46047	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46050	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46053	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46056	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46059	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46062	43.0	43.0	40.0	43.0	35.0	3.34	1.14
46065	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46068	43.0	43.0	40.0	43.0	35.0	3.34	1.14
46071	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46074	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46077	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46080	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46083	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46086	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46089	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46092	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46095	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46099	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46102	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46105	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46108	43.0	43.0	40.0	43.0	35.0	3.34	1.14
46111	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46114	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46117	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46120	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46123	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46126	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46129	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46132	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46135	43.0	43.0	40.0	43.0	35.0	3.34	1.14
46138	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46141	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46144	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46147	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46150	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46154	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46157	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46160	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46163	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46166	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46169	43.0	43.0	40.0	43.0	34.0	3.34	1.13
46172	43.0	43.0	40.0	43.0	34.0	3.34	1.13
46175	43.0	43.0	40.0	43.0	34.0	3.34	1.13
46178	43.0	43.0	40.0	43.0	34.0	3.34	1.13
46181	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46184	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46187	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46190	43.0	43.0	40.0	43.0	35.0	3.34	1.14
46193	43.0	43.0	40.0	43.0	34.0	3.34	1.14
46196	43.0	43.0	40.0	43.0	35.0	3.34	1.14
46199	43.0	43.0	40.0	43.0	34.0	3.34	1.14
