Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
55993	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
55996	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
55999	39.0	39.0	51.0	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
56002	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
56005	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
56009	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
56012	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
56015	39.0	39.0	50.0	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
56018	39.0	39.0	50.0	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
56021	39.0	39.0	50.0	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
56024	39.0	39.0	50.0	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
56027	39.0	39.0	50.0	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
56030	39.0	39.0	50.0	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
56033	39.0	39.0	50.0	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
56036	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
56039	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
56042	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
56045	39.0	39.0	50.0	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
56048	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
56051	42.0	42.0	51.5	39.0	40.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
56054	40.0	40.0	55.0	39.0	41.0	35.0	3.33	3.26	1.09	7.18	3.34	3.36
56058	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.36
56061	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.36
56064	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.36
56067	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
56070	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
56073	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
56076	39.0	39.0	50.0	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
56079	39.0	39.0	50.0	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
56082	39.0	39.0	50.0	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
56085	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
56088	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.28	1.09	7.18	3.34	3.34
56091	39.0	39.0	50.0	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
56094	39.0	39.0	50.5	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
56097	39.0	39.0	50.0	39.0	39.0	35.0	3.33	3.26	1.09	7.18	3.34	3.34
