"(PDH-CSV 4.0) (India Standard Time)(-330)","\\LAB2-PC15\Processor Information(_Total)\% Processor Time","\\LAB2-PC15\Processor(_Total)\% C3 Time","\\LAB2-PC15\Processor(_Total)\% Idle Time","\\LAB2-PC15\Processor(_Total)\DPC Rate","\\LAB2-PC15\Processor(_Total)\% Interrupt Time","\\LAB2-PC15\Processor(_Total)\% C2 Time","\\LAB2-PC15\Processor(_Total)\% User Time","\\LAB2-PC15\Processor(_Total)\% C1 Time","\\LAB2-PC15\Processor(_Total)\% Processor Time","\\LAB2-PC15\Processor(_Total)\C1 Transitions/sec","\\LAB2-PC15\Processor(_Total)\% DPC Time","\\LAB2-PC15\Processor(_Total)\C2 Transitions/sec","\\LAB2-PC15\Processor(_Total)\% Privileged Time","\\LAB2-PC15\Processor(_Total)\C3 Transitions/sec","\\LAB2-PC15\Processor(_Total)\DPCs Queued/sec","\\LAB2-PC15\Processor(_Total)\Interrupts/sec","\\LAB2-PC15\Memory\Pool Paged Bytes","\\LAB2-PC15\Memory\Free & Zero Page List Bytes","\\LAB2-PC15\Memory\Cache Bytes Peak","\\LAB2-PC15\Memory\System Code Resident Bytes","\\LAB2-PC15\Memory\Available Bytes","\\LAB2-PC15\Memory\Commit Limit","\\LAB2-PC15\Memory\Transition Pages RePurposed/sec","\\LAB2-PC15\Memory\Pages Output/sec","\\LAB2-PC15\Memory\Page Reads/sec","\\LAB2-PC15\Memory\Available KBytes","\\LAB2-PC15\Memory\Demand Zero Faults/sec","\\LAB2-PC15\Memory\Pages/sec","\\LAB2-PC15\Memory\Cache Bytes","\\LAB2-PC15\Memory\Pool Nonpaged Bytes","\\LAB2-PC15\Memory\Page Faults/sec","\\LAB2-PC15\Memory\System Cache Resident Bytes","\\LAB2-PC15\Memory\Transition Faults/sec","\\LAB2-PC15\Memory\Standby Cache Reserve Bytes","\\LAB2-PC15\Memory\Page Writes/sec","\\LAB2-PC15\Memory\System Code Total Bytes","\\LAB2-PC15\Memory\Standby Cache Core Bytes","\\LAB2-PC15\Memory\System Driver Resident Bytes","\\LAB2-PC15\Memory\Standby Cache Normal Priority Bytes","\\LAB2-PC15\Memory\Pool Paged Allocs","\\LAB2-PC15\Memory\Pool Nonpaged Allocs","\\LAB2-PC15\Memory\% Committed Bytes In Use","\\LAB2-PC15\Memory\Available MBytes","\\LAB2-PC15\Memory\Free System Page Table Entries","\\LAB2-PC15\Memory\Modified Page List Bytes","\\LAB2-PC15\Memory\Cache Faults/sec","\\LAB2-PC15\Memory\Committed Bytes","\\LAB2-PC15\Memory\System Driver Total Bytes","\\LAB2-PC15\Memory\Pages Input/sec","\\LAB2-PC15\Memory\Pool Paged Resident Bytes","\\LAB2-PC15\Memory\Write Copies/sec"
"07/01/2011 13:07:42.630","9.5465560331900452","89.475607317804659","90.453443966809957","1","0","0","3.1190842747175851","0","9.5465560331900452","0","0","0","6.2381685494351702","3765.7785953221733","668.96066921681734","2503.8527888175045","202080256","3321856","100171776","11329536","105918464","3311497216","0","0","241.98577272118055","103436","443.97389705869489","387.97718932156221","18890752","41488384","871.94873476392331","18890752","243.98565514036386","15269888","0","7077888","33746944","4886528","53579776","151044","103401","90.041448611020058","101","33557497","1871872","390.97701295033715","2981720064","6193152","387.97718932156221","81162240","0"
"07/01/2011 13:07:43.631","16.564490652804153","78.293152054383683","83.435509347195847","3","0.77977606717984604","3.7760871738478454","7.7977106867939616","0","16.564490652804153","0","0","284.96748860211488","8.5774767569729082","3690.5789488786172","531.93931205728109","2796.6809320004045","202330112","942080","100171776","11329536","102232064","3311497216","456.94786768830346","0","187.97855388490385","99836","2384.7279309334876","456.94786768830346","19095552","41476096","4085.5338892218992","19095552","1528.8255792022233","13398016","0","7077888","33607680","4886528","54284288","151910","103824","90.161304487112091","97","33557497","1867776","134.98459986415966","2985689088","6193152","456.94786768830346","81416192","89.989733242773113"
"07/01/2011 13:07:44.630","19.603188112635284","73.577086033349161","80.39681188736472","1","0","5.906126060079874","9.3666194435963508","0","19.603188112635284","0","0.780546616795742","440.43049791077573","10.1471760674","4735.628830945182","395.38646971535547","3272.1984037961952","202350592","102400","100171776","11329536","94064640","3311497216","1699.6613305738572","0","19.018589682510768","91860","2524.4675357522192","103.10077564729522","19419136","41578496","8503.3115448909994","19419136","5810.6796372092113","6438912","0","7077888","33554432","4886528","53968896","152192","104436","90.550063020194912","89","33557499","1871872","165.16143671654089","2998562816","6193152","103.10077564729522","81444864","433.423649080377"
"07/01/2011 13:07:45.630","3.308387483754871","94.176517044886538","96.691612516245129","10","0","0","2.3393082075377389","0","3.308387483754871","0","0","0","0.77976607017894628","3216.8964267429283","427.98622028162055","2213.9287189334295","202350592","946176","100171776","11468800","94416896","3311497216","200.99352868365827","0","19.999356087926195","92204","420.98644565084641","27.999098523096674","19079168","41619456","486.98432074100282","19079168","44.99855119783394","5586944","0","7077888","33554432","4886528","54329344","151791","104441","90.546723382780584","90","33557497","1880064","0.99996780439630972","2998452224","6193152","27.999098523096674","81444864","0"
"07/01/2011 13:07:46.631","0.1893032090372837","97.33740877736679","99.810696790962723","4","0","0","0","0","0.1893032090372837","0","0","0","0","3180.6482570071562","491.94559649403357","2106.7670158799365","202350592","1052672","100171776","11468800","94523392","3311497216","0","0","0.99988942376836087","92308","167.98142319308462","1.9997788475367217","19083264","41627648","194.97843763483039","19083264","24.997235594209023","5586944","0","7077888","33554432","4886528","54329344","151791","104444","90.547465524428205","90","33557497","1880064","0.99988942376836087","2998476800","6193152","1.9997788475367217","81444864","0"
"07/01/2011 13:07:47.630","0.089392601638926816","97.561772509288261","99.91060739836108","8","0","0","0","0","0.089392601638926816","0","0","0","0","3150.9608064577146","491.46180304025984","2117.990173591018","202350592","1028096","100171776","11468800","94502912","3311497216","0","0","1.0009405357235435","92288","180.16929643023781","1.0009405357235435","19083264","41611264","203.19092875187931","19083264","21.01975125019441","5586944","0","7077888","33554432","4886528","54333440","151729","104436","90.549568259096489","90","33557497","1880064","2.0018810714470869","2998546432","6193152","1.0009405357235435","81473536","0"
"07/01/2011 13:07:48.630","7.2072378286514027","91.713385984204749","92.792762171348599","4","0","0","3.1190842747175851","0","7.2072378286514027","0","0","0","5.4584024792562236","3312.9976811435959","517.99963743808712","2740.9980815015383","202342400","6737920","100171776","11468800","100220928","3311497216","0","0","1.9999986001470547","97872","633.99955624661629","8.9999937006617454","19087360","41533440","761.99946665602783","19087360","125.99991180926443","5586944","0","7077888","33554432","4886528","54341632","151690","104323","90.286479045012129","95","33557497","1880064","0.99999930007352733","2989834240","6193152","8.9999937006617454","81465344","3.9999972002941093"
"07/01/2011 13:07:49.631","14.225192442267321","72.649505148455461","85.774817554733588","6","0","6.210256922923123","4.678626412076377","3.0124462661201639","14.225182445266416","582.95899311390303","0","1014.9286072223182","9.3572528241527539","2939.7932071267151","220.98445536564762","3206.7744269576106","202358784","3117056","100171776","11468800","96272384","3311497216","0","0","10.99922628516798","94016","2364.8336513111158","81.99423230761586","19410944","41566208","8405.408741192914","19410944","5876.5866252665655","5586944","0","7077888","33546240","4886528","54022144","151804","104308","90.438123321677594","91","33557497","1875968","164.98839427751972","2994855936","6193152","81.99423230761586","81469440","432.96954377070324"
"07/01/2011 13:07:50.630","1.6504958422383198","94.716349859806826","98.349504157761686","7","0.780546616795742","0","0","0","1.6504958422383198","0","0","0","1.5611032405993919","3584.2286947167768","610.54998709221832","2294.0665088776464","202358784","3121152","100171776","11468800","96276480","3311497216","0","0","0","94020","167.15057023672207","0","19410944","41570304","190.17130745495325","19410944","23.020737218231183","5586944","0","7077888","33546240","4886528","54022144","151804","104331","90.447152711723731","91","33557497","1875968","0","2995154944","6193152","0","81469440","0"
"07/01/2011 13:07:51.630","3.3083774867539772","95.475137458762376","96.691612516245129","13","0.77977606717984604","0","1.5595421373587925","0","3.308387483754871","0","0.77977606717984604","0","1.5595421373587925","3775.7344047994816","593.95821939907091","2325.8363944818839","202358784","3076096","100171776","11468800","96555008","3311497216","0","0","0","94292","439.96905140671925","0","19087360","41582592","483.96595654739116","19087360","41.997045816095927","5586944","0","7077888","33550336","4886528","54341632","151806","104324","90.458161146163562","92","33557497","1875968","1.9998593245759966","2995519488","6193152","0","81469440","0"
