Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
54907	43.0	43.0	46.0	43.0	45.0	39.0	3.34	3.25	1.22	7.6	3.36	3.36
54910	43.0	43.0	46.5	43.0	43.0	37.0	3.34	3.25	1.22	7.6	3.36	3.36
54913	43.0	43.0	45.5	43.0	43.0	36.0	3.34	3.25	1.22	7.6	3.36	3.36
54916	43.0	43.0	44.5	43.0	43.0	36.0	3.34	3.25	1.22	7.6	3.36	3.36
54919	43.0	43.0	45.5	43.0	43.0	36.0	3.34	3.25	1.1	7.23	3.36	3.36
54923	43.0	43.0	44.5	43.0	43.0	35.0	3.34	3.25	1.1	7.23	3.36	3.36
54925	43.0	43.0	45.5	43.0	43.0	36.0	3.34	3.25	1.1	7.23	3.36	3.36
54928	43.0	43.0	45.5	43.0	43.0	36.0	3.34	3.25	1.1	7.23	3.36	3.36
54931	43.0	43.0	45.5	43.0	44.0	38.0	3.34	3.23	1.1	7.23	3.36	3.36
54934	43.0	43.0	44.5	43.0	43.0	36.0	3.34	3.23	1.1	7.23	3.36	3.36
54938	43.0	43.0	46.0	43.0	43.0	36.0	3.34	3.23	1.1	7.23	3.36	3.36
54941	43.0	43.0	44.5	43.0	43.0	36.0	3.34	3.23	1.1	7.23	3.36	3.36
54944	43.0	43.0	44.5	43.0	43.0	35.0	3.34	3.25	1.1	7.23	3.36	3.38
54947	43.0	43.0	45.0	43.0	43.0	35.0	3.34	3.25	1.1	7.23	3.36	3.38
54950	43.0	43.0	45.0	43.0	43.0	36.0	3.34	3.25	1.1	7.23	3.36	3.38
54953	43.0	43.0	44.5	43.0	44.0	37.0	3.34	3.25	1.1	7.23	3.36	3.38
54956	43.0	43.0	48.0	43.0	46.0	40.0	3.34	3.23	1.23	8.4	3.36	3.36
54959	43.0	43.0	46.0	43.0	43.0	36.0	3.34	3.23	1.23	8.4	3.36	3.36
54962	43.0	43.0	45.0	43.0	43.0	36.0	3.34	3.23	1.23	8.4	3.36	3.36
54965	43.0	43.0	45.0	43.0	43.0	35.0	3.34	3.23	1.23	8.4	3.36	3.36
54968	43.0	43.0	45.5	43.0	43.0	36.0	3.34	3.25	1.1	7.23	3.36	3.36
