Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
58119	41.0	41.0	45.5	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58122	41.0	41.0	44.0	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58125	41.0	41.0	44.0	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58128	41.0	41.0	44.0	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58131	41.0	41.0	44.0	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58134	41.0	41.0	44.0	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58138	41.0	41.0	44.0	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58141	41.0	41.0	44.0	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58144	41.0	41.0	43.5	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58147	41.0	41.0	44.0	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58150	41.0	41.0	44.0	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58153	41.0	41.0	44.0	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58156	41.0	41.0	43.5	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58159	41.0	41.0	44.0	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58162	41.0	41.0	43.5	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58165	41.0	41.0	43.5	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58168	41.0	41.0	43.5	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58171	41.0	41.0	43.5	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58174	41.0	41.0	43.5	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58177	41.0	41.0	43.5	37.0	41.0	38.0	3.36	3.23	1.1	7.23	3.38	3.38
58180	41.0	41.0	45.0	37.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
58184	41.0	41.0	46.5	37.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
58187	41.0	41.0	44.0	37.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
58190	41.0	41.0	43.5	37.0	41.0	38.0	3.34	3.23	1.1	7.23	3.38	3.38
