Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
55751	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.09	7.23	3.36	3.36
55754	44.0	44.0	48.0	38.0	43.0	38.0	3.33	3.28	1.09	7.23	3.36	3.36
55757	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.09	7.23	3.36	3.36
55760	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.09	7.23	3.36	3.36
55763	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.09	7.18	3.36	3.36
55766	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.09	7.18	3.36	3.36
55769	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.09	7.18	3.36	3.36
55772	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.09	7.18	3.36	3.36
55775	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.1	7.18	3.36	3.36
55778	41.0	41.0	51.0	38.0	38.0	36.0	3.33	3.28	1.1	7.18	3.36	3.36
55781	38.0	38.0	51.0	38.0	38.0	36.0	3.33	3.28	1.1	7.18	3.36	3.36
55784	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.1	7.18	3.36	3.36
55787	38.0	38.0	47.5	38.0	38.0	36.0	3.33	3.26	1.1	7.18	3.36	3.36
55790	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.26	1.1	7.18	3.36	3.36
55793	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.26	1.1	7.18	3.36	3.36
55796	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.26	1.1	7.18	3.36	3.36
55799	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.1	7.18	3.36	3.36
55802	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.1	7.18	3.36	3.36
55806	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.1	7.18	3.36	3.36
55809	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.1	7.18	3.36	3.36
55812	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.1	7.18	3.36	3.36
55815	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.1	7.18	3.36	3.36
55818	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.1	7.18	3.36	3.36
55821	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.1	7.18	3.36	3.36
55824	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.1	7.23	3.36	3.36
55827	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.1	7.23	3.36	3.36
55830	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.1	7.23	3.36	3.36
55833	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.1	7.23	3.36	3.36
55836	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.09	7.23	3.36	3.36
55839	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.09	7.23	3.36	3.36
55842	38.0	38.0	50.0	38.0	38.0	36.0	3.33	3.28	1.09	7.23	3.36	3.36
55845	43.0	43.0	49.5	38.0	43.0	37.0	3.33	3.28	1.09	7.23	3.36	3.36
55848	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.09	7.23	3.36	3.36
55851	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.09	7.23	3.36	3.36
55854	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.09	7.23	3.36	3.36
55858	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.09	7.23	3.36	3.36
55861	38.0	38.0	47.0	38.0	38.0	36.0	3.33	3.28	1.1	7.23	3.36	3.36
55864	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.1	7.23	3.36	3.36
55867	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.1	7.23	3.36	3.36
55870	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.1	7.23	3.36	3.36
55873	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.09	7.18	3.36	3.36
55876	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.09	7.18	3.36	3.36
55879	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.09	7.18	3.36	3.36
55882	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.09	7.18	3.36	3.36
55885	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.09	7.18	3.36	3.36
55888	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.09	7.18	3.36	3.36
55891	38.0	38.0	46.5	38.0	38.0	36.0	3.33	3.28	1.09	7.18	3.36	3.36
