Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
54729	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54732	39.0	39.0	47.0	42.0	39.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54735	38.0	38.0	47.0	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54738	38.0	38.0	47.0	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54742	38.0	38.0	46.5	42.0	38.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54745	39.0	39.0	47.0	42.0	39.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
54748	41.0	41.0	50.5	42.0	45.0	39.0	3.34	3.28	1.09	7.18	3.36	3.36
54751	41.0	41.0	49.5	42.0	40.0	38.0	3.34	3.28	1.09	7.18	3.36	3.36
