Time,temperature
10:52:57,0.00
10:52:58,33.20
10:52:59,33.69
10:53:0,34.66
10:53:1,32.22
10:53:2,32.71
10:53:3,33.20
10:53:4,32.71
10:53:5,33.20
10:53:6,33.69
10:53:7,33.20
10:53:8,32.22
10:53:9,33.20
10:53:10,33.20
10:53:11,33.69
10:53:12,32.22
10:53:13,33.20
10:53:14,32.71
10:53:15,33.20
10:53:16,33.20
10:53:17,33.69
10:53:18,32.71
10:53:19,32.71
10:53:20,33.20
10:53:21,33.20
10:53:22,32.22
10:53:23,32.71
10:53:24,33.20
10:53:25,32.22
10:53:26,33.69
10:53:27,32.71
10:53:28,33.20
10:53:29,32.71
10:53:30,32.71
10:53:31,33.20
10:53:32,32.71
10:53:33,33.20
10:53:34,32.71
10:53:35,32.71
10:53:36,33.20
10:53:37,33.20
10:53:38,33.20
10:53:39,32.71
10:53:40,33.69
10:53:41,33.20
10:53:42,33.20
10:53:43,33.69
10:53:44,33.20
10:53:45,32.22
10:53:46,32.71
10:53:47,32.71
10:53:48,33.20
10:53:49,32.71
10:53:50,32.71
10:53:51,32.71
10:53:52,33.20
10:53:53,33.20
10:53:54,33.20
10:53:55,32.71
10:53:56,33.69
10:53:57,33.69
10:53:58,32.71
10:53:59,32.22
10:54:0,34.66
10:54:1,33.69
10:54:2,33.20
10:54:3,33.69
10:54:4,33.20
10:54:5,32.71
10:54:6,33.20
10:54:7,33.69
10:54:8,32.22
10:54:9,32.71
10:54:10,32.71
10:54:11,31.73
10:54:12,33.20
10:54:13,32.71
10:54:14,32.71
10:54:15,33.20
10:54:16,32.22
10:54:17,33.69
10:54:18,33.69
10:54:19,32.71
10:54:20,32.71
10:54:21,33.20
10:54:22,33.20
10:54:23,32.71
10:54:24,33.20
10:54:25,33.20
10:54:26,33.20
10:54:27,33.20
10:54:28,32.71
10:54:29,32.22
10:54:30,33.20
10:54:31,33.20
10:54:32,32.71
10:54:33,34.66
10:54:34,33.20
10:54:35,33.69
10:54:36,32.71
10:54:37,33.20
10:54:38,33.69
10:54:39,31.73
10:54:40,32.22
10:54:41,32.22
10:54:42,33.20
10:54:43,33.20
10:54:44,32.22
10:54:45,34.17
10:54:46,32.71
10:54:47,33.20
10:54:48,32.71
10:54:49,32.71
10:54:51,33.20
10:54:52,31.73
10:54:53,33.20
10:54:54,34.17
10:54:55,33.20
10:54:56,32.71
10:54:57,31.73
10:54:58,33.69
10:54:59,32.71
10:55:0,32.71
10:55:1,32.22
10:55:2,34.17
10:55:3,33.69
10:55:4,33.69
10:55:5,33.20
10:55:6,33.69
10:55:7,33.69
10:55:8,33.69
10:55:9,33.69
10:55:10,33.69
10:55:11,33.20
10:55:12,33.20
10:55:13,33.20
10:55:14,33.20
10:55:15,33.20
10:55:16,32.71
10:55:17,33.20
10:55:18,33.20
10:55:19,33.20
10:55:20,32.71
10:55:21,32.71
10:55:22,32.71
10:55:23,33.20
10:55:24,33.69
10:55:25,33.69
10:55:26,33.69
10:55:27,33.20
10:55:28,33.69
10:55:29,32.71
10:55:30,33.20
10:55:31,33.69
10:55:32,33.69
10:55:33,31.73
10:55:34,33.20
10:55:35,33.20
10:55:36,32.71
10:55:37,32.71
10:55:38,32.71
10:55:39,33.20
10:55:40,33.20
10:55:41,32.71
10:55:42,33.20
10:55:43,32.71
10:55:44,33.20
10:55:45,32.71
10:55:46,33.69
10:55:47,33.20
10:55:48,32.71
10:55:49,33.69
10:55:50,33.69
10:55:51,32.71
10:55:52,34.17
10:55:53,33.20
10:55:54,33.20
10:55:55,32.71
10:55:56,33.69
10:55:57,32.71
10:55:58,32.71
10:55:59,33.20
10:56:0,33.20
10:56:1,33.69
10:56:2,32.71
10:56:3,32.22
10:56:4,32.71
10:56:5,33.69
10:56:6,33.69
10:56:7,33.20
10:56:8,33.69
10:56:9,33.20
10:56:10,34.17
10:56:11,33.69
10:56:12,33.69
10:56:13,33.20
10:56:14,32.71
10:56:15,33.69
10:56:16,33.20
10:56:17,33.69
10:56:18,32.22
10:56:19,33.20
10:56:20,33.20
10:56:21,32.71
10:56:22,33.69
10:56:23,33.69
10:56:24,32.22
10:56:25,33.20
10:56:26,32.71
10:56:27,33.20
10:56:28,32.71
10:56:29,33.20
10:56:30,32.71
10:56:31,33.20
10:56:32,33.20
10:56:33,33.69
10:56:34,33.20
10:56:35,33.20
10:56:36,34.17
10:56:37,32.71
10:56:38,33.69
10:56:39,34.17
10:56:40,32.22
10:56:41,32.71
10:56:42,33.20
10:56:43,33.69
10:56:44,32.71
10:56:45,33.69
10:56:46,33.20
10:56:47,33.69
10:56:48,33.69
10:56:49,32.71
10:56:50,32.71
10:56:51,33.69
10:56:52,33.20
10:56:53,33.69
10:56:54,33.69
10:56:55,33.20
10:56:56,32.71
10:56:57,32.71
10:56:58,33.20
10:56:59,33.20
10:57:0,32.71
10:57:1,33.20
10:57:2,31.73
10:57:3,33.20
10:57:4,32.22
10:57:5,32.22
10:57:7,32.22
10:57:8,33.69
10:57:9,32.71
10:57:10,32.22
10:57:11,32.71
10:57:12,33.69
10:57:13,33.20
10:57:14,32.71
10:57:15,33.69
10:57:16,33.20
10:57:17,32.71
10:57:18,32.22
10:57:19,32.71
10:57:20,32.71
10:57:21,32.22
10:57:22,33.69
10:57:23,33.20
10:57:24,33.69
10:57:25,33.69
10:57:26,33.20
10:57:27,32.71
10:57:28,33.20
10:57:29,33.20
10:57:30,32.71
10:57:31,32.71
10:57:32,32.22
10:57:33,33.20
10:57:34,32.22
10:57:35,33.69
10:57:36,32.22
10:57:37,33.69
10:57:38,32.71
10:57:39,32.22
10:57:40,33.69
10:57:41,32.71
10:57:42,34.66
10:57:43,32.71
10:57:44,33.20
10:57:45,32.71
10:57:46,32.22
10:57:47,32.22
10:57:48,32.22
10:57:49,33.69
10:57:50,34.17
10:57:51,33.20
10:57:52,32.71
10:57:53,33.20
10:57:54,33.69
10:57:55,33.20
10:57:56,33.20
10:57:57,32.71
10:57:58,32.71
10:57:59,32.71
10:58:0,33.20
10:58:1,32.71
10:58:2,34.17
10:58:3,33.69
10:58:4,33.69
10:58:5,33.20
10:58:6,32.71
10:58:7,33.20
10:58:8,33.69
10:58:9,32.22
10:58:10,32.71
10:58:11,33.20
10:58:12,33.69
10:58:13,33.20
10:58:14,32.71
10:58:15,33.20
10:58:16,33.20
10:58:17,33.20
10:58:18,33.69
10:58:19,33.69
10:58:20,32.71
10:58:21,33.69
10:58:22,33.20
10:58:23,33.20
10:58:24,33.20
10:58:25,32.71
10:58:26,32.71
10:58:27,32.71
10:58:28,33.20
10:58:29,32.22
10:58:30,32.22
10:58:31,32.71
10:58:32,33.20
10:58:33,31.73
10:58:34,35.15
10:58:35,33.20
10:58:36,34.17
10:58:37,32.71
10:58:38,33.20
10:58:39,33.69
10:58:40,32.71
10:58:41,33.20
10:58:42,34.66
10:58:43,33.69
10:58:44,32.71
10:58:45,32.71
10:58:46,33.69
10:58:47,33.69
10:58:48,32.71
10:58:49,33.20
10:58:50,32.71
10:58:51,33.69
10:58:52,32.71
10:58:53,33.20
10:58:54,32.71
10:58:55,33.20
10:58:56,33.20
10:58:57,33.69
10:58:58,33.69
10:58:59,32.71
10:59:0,33.69
10:59:1,33.69
10:59:2,33.20
10:59:3,33.20
10:59:4,33.69
10:59:5,32.71
10:59:6,32.22
10:59:7,33.69
10:59:8,33.20
10:59:9,34.17
10:59:10,32.71
10:59:11,32.22
10:59:12,34.17
10:59:13,32.71
10:59:14,33.20
10:59:15,33.20
10:59:16,33.20
10:59:17,32.22
10:59:18,32.71
10:59:19,33.20
10:59:20,32.71
10:59:22,32.71
10:59:23,33.69
10:59:24,32.71
10:59:25,33.20
10:59:26,33.20
10:59:27,32.71
10:59:28,33.20
10:59:29,33.20
10:59:30,33.20
10:59:31,33.20
10:59:32,33.69
10:59:33,32.71
10:59:34,33.69
10:59:35,32.71
10:59:36,33.69
10:59:37,33.69
10:59:38,32.22
10:59:39,32.22
10:59:40,32.22
10:59:41,33.20
10:59:42,32.71
10:59:43,33.20
10:59:44,33.20
10:59:45,33.69
10:59:46,32.71
10:59:47,33.69
10:59:48,33.20
10:59:49,32.22
10:59:50,33.69
10:59:51,33.69
10:59:52,33.20
10:59:53,32.71
10:59:54,33.20
10:59:55,32.22
10:59:56,32.22
10:59:57,31.73
10:59:58,32.71
10:59:59,33.69
11:0:0,32.22
11:0:1,32.71
11:0:2,33.20
11:0:3,33.69
11:0:4,32.71
11:0:5,32.71
11:0:6,32.71
11:0:7,32.71
11:0:8,33.20
11:0:9,33.20
11:0:10,33.69
11:0:11,33.20
11:0:12,32.22
11:0:13,33.69
11:0:14,33.20
11:0:15,33.69
11:0:16,33.69
11:0:17,33.20
11:0:18,32.71
11:0:19,33.20
11:0:20,33.69
11:0:21,32.71
11:0:22,33.69
11:0:23,33.69
11:0:24,32.22
11:0:25,33.69
11:0:26,32.71
